sex,age,address,Pstatus,Medu,Fedu,guardian,studytime,failures,schoolsup,famsup,paid,higher,internet,famrel,absences,G3
M,17,U,T,4,3,mother,2,0,no,yes,no,yes,yes,5,4,11
M,16,U,T,4,3,mother,2,0,no,yes,yes,yes,yes,3,10,8
M,16,U,T,3,3,mother,2,0,no,no,yes,yes,yes,4,2,12
F,17,U,T,2,4,father,2,0,no,yes,no,yes,no,5,0,17
F,16,U,T,3,2,mother,2,0,no,yes,yes,yes,yes,1,14,12
M,17,U,T,3,3,mother,2,0,no,yes,no,yes,yes,4,12,11
M,16,U,T,1,2,mother,1,0,no,yes,yes,yes,yes,3,2,11
M,16,U,T,2,1,mother,2,0,no,no,yes,yes,yes,4,0,15
F,17,U,A,3,3,mother,2,0,no,yes,no,yes,yes,3,6,9
M,17,R,T,1,2,mother,2,0,no,no,no,yes,no,3,4,10
F,16,U,T,2,3,mother,2,0,no,no,no,yes,yes,4,10,13
F,17,U,T,1,1,mother,2,0,no,no,no,yes,yes,5,0,9
M,17,U,T,1,2,other,2,0,no,no,yes,yes,yes,4,12,8
M,16,R,T,3,3,mother,1,0,no,yes,no,yes,yes,4,8,10
M,16,U,T,2,3,father,1,0,no,no,no,yes,yes,5,0,14
F,17,U,T,2,4,father,2,0,no,no,no,yes,yes,4,0,15
M,17,U,T,4,4,mother,1,0,no,no,no,yes,yes,5,4,16
M,16,R,T,3,3,father,1,0,no,yes,yes,yes,yes,3,8,10
F,17,U,T,4,4,mother,1,1,no,yes,no,yes,yes,4,24,18
F,16,U,T,4,4,mother,2,0,no,yes,yes,yes,yes,4,0,10
F,16,U,T,4,3,mother,2,0,no,yes,no,yes,yes,4,2,16
F,16,U,T,2,3,mother,2,0,yes,yes,yes,yes,no,4,6,10
F,17,U,T,1,1,mother,2,0,no,yes,yes,yes,no,4,4,10
F,17,R,T,2,2,mother,1,0,no,yes,no,yes,yes,5,18,6
F,16,R,T,2,2,mother,4,0,no,yes,yes,yes,yes,5,6,11
F,17,U,T,3,4,mother,3,1,no,yes,yes,yes,yes,4,28,9
F,16,U,A,3,1,mother,2,3,no,yes,yes,yes,yes,2,5,7
F,16,U,T,4,3,mother,2,0,no,no,yes,yes,yes,1,10,13
F,16,U,T,1,1,mother,1,0,no,yes,yes,yes,no,4,6,10
F,17,R,T,4,3,mother,3,0,no,yes,yes,yes,yes,4,6,7
F,19,U,T,3,3,other,4,0,no,yes,yes,yes,yes,4,10,8
M,17,U,T,4,4,mother,2,0,no,yes,yes,yes,yes,5,13,13
F,16,U,A,2,2,mother,2,0,yes,yes,yes,yes,yes,3,0,14
M,18,U,T,2,2,mother,2,1,no,yes,yes,yes,yes,4,15,8
F,17,R,T,4,4,mother,1,0,no,yes,yes,yes,no,5,12,10
F,17,U,T,3,2,mother,2,0,no,no,yes,yes,yes,4,2,15
F,17,U,T,4,3,mother,2,2,no,no,yes,yes,yes,3,22,4
M,18,U,T,3,3,father,2,1,no,yes,yes,yes,yes,3,13,8
F,17,U,T,2,3,father,1,0,no,yes,yes,yes,no,3,3,8
F,17,U,T,2,2,mother,3,0,no,yes,yes,yes,yes,4,4,10
F,17,R,T,2,1,mother,2,0,no,yes,no,yes,yes,4,2,6
F,17,U,T,1,1,mother,3,1,no,yes,no,yes,no,4,0,0
F,16,U,T,2,3,mother,2,0,yes,no,no,yes,yes,2,2,17
M,18,U,T,2,2,mother,2,0,no,yes,yes,yes,yes,3,0,13
F,16,U,T,4,4,mother,3,0,no,yes,no,yes,yes,5,0,14
F,18,R,T,3,1,mother,2,1,no,no,no,yes,yes,5,16,7
F,17,U,T,3,2,mother,2,0,no,no,no,yes,yes,5,10,15
M,17,U,T,2,3,father,2,0,no,yes,yes,yes,yes,5,2,12
M,18,U,T,2,1,mother,2,0,yes,yes,yes,yes,yes,4,14,9
F,17,U,A,2,1,mother,3,0,no,no,no,yes,yes,3,10,12
F,17,U,T,4,3,father,2,0,no,no,no,yes,yes,3,14,14
M,17,R,T,2,2,father,2,0,no,yes,yes,yes,yes,4,4,11
M,17,U,T,4,4,mother,2,0,yes,yes,no,yes,yes,4,14,9
M,16,U,T,4,4,father,2,0,no,yes,yes,yes,yes,4,2,13
M,16,U,T,1,1,mother,2,0,no,yes,yes,yes,yes,3,18,6
M,16,U,T,3,2,mother,3,0,no,no,no,yes,yes,5,10,10
M,17,U,T,2,2,father,2,0,no,no,yes,yes,yes,4,4,13
F,16,U,T,2,1,mother,1,0,no,no,no,yes,yes,4,20,12
F,17,R,T,2,1,mother,2,0,no,no,no,yes,no,2,2,11
M,18,U,T,2,2,father,2,1,no,no,no,no,yes,5,0,0
M,17,U,T,4,3,mother,2,0,no,no,no,yes,yes,2,14,12
M,17,R,A,4,4,mother,2,0,no,yes,yes,yes,yes,3,2,12
M,16,U,T,4,3,mother,1,0,no,no,no,yes,yes,5,0,0
M,16,U,T,4,4,mother,1,0,no,no,no,yes,yes,5,0,12
F,18,U,T,2,1,other,3,0,no,yes,yes,yes,yes,4,0,0
M,16,U,T,2,1,mother,1,0,no,no,no,yes,yes,4,6,18
M,17,U,T,2,3,father,1,0,no,no,no,yes,yes,5,4,13
M,22,U,T,3,1,mother,1,3,no,no,no,no,yes,5,16,8
M,18,R,T,3,3,mother,2,1,no,yes,no,yes,yes,4,8,5
M,16,U,T,0,2,mother,1,0,no,no,yes,yes,yes,4,0,15
M,18,U,T,3,2,mother,1,1,no,no,no,no,yes,4,0,8
M,16,U,T,3,3,other,2,0,yes,yes,no,yes,yes,5,6,10
M,18,U,T,2,1,mother,1,1,no,no,no,no,yes,3,4,8
M,16,R,T,2,1,mother,1,0,no,no,no,yes,no,3,0,8
M,17,R,T,2,1,mother,1,0,no,no,no,yes,yes,4,0,12
M,17,U,T,1,1,mother,1,1,no,yes,no,yes,yes,4,2,8
F,17,U,T,4,2,mother,4,0,no,yes,yes,yes,yes,4,6,13
M,19,U,A,4,3,mother,2,0,no,yes,no,yes,yes,4,12,11
M,18,U,T,2,1,mother,2,0,no,no,no,yes,yes,5,8,14
F,17,U,T,2,2,father,4,0,no,no,yes,yes,yes,3,0,0
F,18,U,T,4,3,father,2,0,no,yes,yes,yes,yes,3,21,18
M,18,U,T,4,3,mother,2,0,no,yes,yes,yes,yes,4,2,8
M,18,R,T,3,2,mother,3,0,no,no,no,yes,no,5,1,12
F,17,U,T,3,3,mother,3,0,no,no,no,yes,no,3,4,9
F,18,U,T,2,2,mother,3,0,no,yes,yes,yes,yes,4,0,0
M,18,R,A,3,4,mother,2,0,no,yes,yes,yes,yes,4,13,17
M,17,U,T,3,1,mother,2,0,no,no,yes,yes,yes,5,2,10
F,18,R,T,4,4,mother,2,0,no,no,yes,yes,yes,4,8,11
M,18,U,T,4,2,father,2,0,no,yes,yes,yes,yes,5,10,10
F,18,R,T,2,1,mother,2,0,no,yes,no,no,yes,4,0,0
F,19,U,T,3,3,other,2,2,no,yes,yes,yes,yes,4,15,9
F,18,U,T,2,3,father,4,0,no,yes,yes,yes,yes,4,4,14
F,18,U,T,1,1,mother,2,0,no,yes,yes,yes,no,4,2,11
M,17,R,T,1,2,mother,2,0,no,yes,yes,yes,no,3,2,14
F,17,U,T,2,4,mother,2,0,no,yes,yes,yes,yes,4,2,10
F,17,U,T,2,2,mother,2,0,yes,yes,yes,yes,yes,4,6,12
M,18,U,T,4,4,mother,1,0,no,no,yes,yes,yes,3,22,9
F,18,U,T,4,4,father,2,1,yes,yes,no,yes,yes,2,15,8
M,18,U,T,4,3,mother,1,0,no,no,yes,yes,yes,4,8,10
M,17,U,A,4,1,mother,1,0,no,no,yes,yes,yes,4,30,8
M,17,U,A,3,2,mother,1,1,no,no,no,yes,yes,4,19,10
F,18,R,T,1,1,mother,4,0,no,yes,yes,yes,no,5,1,12
F,18,U,T,1,1,mother,2,0,yes,no,no,yes,yes,5,4,10
F,17,U,T,2,2,mother,2,0,no,yes,no,yes,yes,5,4,11
M,17,U,T,1,1,father,2,0,no,no,yes,yes,yes,4,2,11
F,18,U,T,2,2,mother,3,0,no,yes,yes,yes,yes,4,5,19
F,17,U,T,1,1,mother,3,0,no,yes,yes,yes,yes,4,6,12
M,18,U,T,2,1,mother,3,0,no,no,yes,yes,yes,4,6,14
M,18,U,A,4,4,mother,2,0,no,yes,yes,yes,yes,5,9,15
M,18,U,T,4,2,mother,2,0,no,yes,yes,yes,yes,4,11,11
F,17,U,T,4,3,mother,3,0,no,yes,yes,yes,yes,4,0,15
F,18,U,T,2,1,mother,2,1,no,no,no,yes,yes,5,12,13
F,17,R,T,3,1,mother,4,0,no,yes,yes,yes,no,3,6,18
M,18,R,T,3,2,mother,3,0,no,yes,yes,yes,yes,5,8,14
M,17,U,T,3,3,mother,1,0,no,yes,yes,yes,yes,4,4,11
F,19,U,T,4,4,other,2,0,no,yes,yes,yes,yes,2,0,0
F,18,U,T,4,3,other,2,0,no,yes,yes,yes,yes,4,10,8
F,18,U,T,4,3,father,4,0,no,yes,yes,yes,yes,4,0,14
M,18,U,T,4,4,mother,1,0,no,yes,yes,yes,yes,1,5,16
F,18,U,A,4,4,mother,2,0,no,yes,no,yes,yes,4,14,11
M,17,U,T,4,4,father,1,0,no,no,yes,yes,yes,4,0,10
F,17,U,T,4,2,mother,3,0,no,yes,yes,yes,yes,4,0,14
F,17,U,T,3,2,father,4,0,no,yes,yes,yes,yes,5,0,18
M,19,U,T,3,3,other,2,1,no,yes,no,yes,yes,4,20,13
F,18,U,T,2,4,other,2,1,no,yes,yes,yes,yes,4,8,12
M,20,U,A,3,2,other,1,0,no,no,no,yes,no,5,0,18
M,19,U,T,4,4,other,1,1,no,yes,yes,yes,yes,4,38,8
M,19,R,T,3,3,father,2,1,no,no,no,yes,no,4,0,12
F,19,U,T,1,1,other,2,1,yes,yes,no,yes,yes,4,18,10
F,19,U,T,1,2,other,2,1,no,no,no,yes,no,4,0,0
F,19,U,T,2,1,other,2,0,no,yes,no,no,yes,3,20,13
M,19,U,T,1,2,other,2,1,no,no,no,yes,yes,4,3,11
F,19,U,T,3,2,other,2,1,no,yes,yes,yes,yes,4,22,11
F,19,U,T,1,1,other,3,2,no,no,no,yes,yes,4,14,13
F,19,R,T,2,3,other,3,1,no,no,no,yes,yes,4,40,11
F,18,U,T,2,1,mother,2,0,no,yes,yes,yes,yes,5,0,0
F,18,U,T,4,3,mother,3,0,no,yes,yes,yes,yes,4,9,9
F,17,R,T,3,4,father,3,0,no,yes,yes,yes,yes,4,0,10
F,18,U,T,4,4,mother,2,0,no,yes,yes,yes,yes,4,2,11
F,17,U,A,4,3,mother,2,0,no,yes,yes,yes,yes,5,23,13
F,17,U,T,2,2,mother,2,0,no,yes,no,yes,no,4,12,9
F,17,R,T,2,2,mother,3,0,no,yes,yes,yes,yes,3,3,11
F,17,U,T,3,1,father,3,0,no,yes,no,yes,yes,3,1,15
F,17,U,T,0,2,father,3,0,no,no,no,yes,yes,3,0,15
M,18,U,T,4,4,mother,3,0,no,no,no,yes,yes,4,3,11
M,17,U,T,3,3,mother,1,0,no,no,no,yes,yes,4,3,16
M,17,R,T,2,2,mother,1,0,no,yes,no,yes,yes,4,8,10
F,17,U,T,4,4,mother,3,0,no,yes,yes,yes,yes,5,7,9
F,17,U,T,4,4,mother,3,0,no,yes,yes,yes,yes,4,4,14
M,18,U,T,2,2,mother,4,0,no,yes,no,yes,yes,4,2,8
F,17,R,T,2,4,father,3,0,no,yes,no,yes,yes,4,7,14
F,18,U,T,3,3,mother,2,0,no,no,no,yes,yes,5,0,0
F,18,U,T,2,2,other,2,0,no,no,no,yes,yes,4,0,0
F,18,R,T,2,2,mother,4,0,no,no,no,yes,no,4,0,0
F,17,U,T,3,4,mother,3,0,no,no,no,yes,yes,4,16,15
F,19,R,A,3,1,other,3,1,no,no,yes,yes,no,5,12,13
F,17,U,T,3,2,mother,2,0,no,yes,yes,yes,yes,4,0,0
F,18,U,T,3,3,mother,4,0,no,yes,no,yes,yes,5,7,17
F,17,R,A,3,2,mother,2,0,no,yes,yes,yes,yes,4,4,10
F,19,U,T,2,1,other,3,1,no,no,yes,yes,yes,4,4,11
M,18,U,T,4,4,father,2,1,no,yes,no,yes,yes,4,0,0
M,18,U,T,3,4,mother,2,0,no,no,no,yes,yes,4,11,15
F,17,U,A,2,2,father,2,1,no,yes,no,yes,yes,3,0,0
F,18,U,T,2,3,mother,3,0,no,yes,no,yes,yes,4,4,10
F,18,U,T,3,2,mother,3,0,no,no,no,yes,yes,5,7,14
M,18,R,T,4,3,mother,3,0,no,no,no,yes,yes,5,9,16
M,18,U,T,4,3,mother,3,0,no,yes,yes,yes,yes,5,0,9
F,17,U,T,4,3,mother,3,0,no,yes,yes,yes,yes,4,0,15
M,18,R,T,3,2,mother,1,1,no,yes,no,yes,yes,2,10,13
M,19,R,T,1,1,other,2,3,no,no,no,yes,yes,5,8,8
M,17,U,T,3,3,mother,2,0,no,yes,yes,yes,yes,4,2,13
M,18,U,T,1,3,mother,1,1,no,no,no,no,yes,4,7,8
M,19,R,T,1,1,other,1,1,no,yes,no,yes,yes,4,4,8
M,17,R,T,4,3,mother,2,0,no,yes,yes,yes,yes,4,4,11
F,18,U,T,3,3,father,2,0,no,yes,no,yes,no,5,0,9
F,17,R,T,4,4,father,2,0,no,yes,yes,yes,yes,4,4,13
F,17,U,A,3,2,mother,2,0,no,no,no,yes,no,1,2,11
M,18,U,T,1,1,father,1,0,no,no,no,yes,yes,3,4,10
F,18,U,T,1,1,father,3,0,no,no,no,yes,yes,5,0,16
F,18,R,A,1,4,mother,2,0,no,no,no,yes,no,4,0,13
M,18,R,T,1,1,mother,2,1,no,no,no,no,no,4,2,12
F,18,U,T,3,3,mother,2,0,no,yes,no,yes,yes,4,0,10
F,17,U,T,4,4,mother,2,0,no,yes,yes,yes,yes,2,0,15
F,17,R,T,1,2,father,2,0,no,no,no,yes,no,3,0,12
M,18,R,T,1,3,mother,2,0,no,yes,yes,yes,no,3,4,10
M,18,U,T,4,4,mother,3,0,no,no,yes,yes,yes,4,0,13
F,17,R,T,1,1,mother,1,1,no,yes,yes,yes,yes,5,0,0
F,18,U,T,2,3,father,1,0,no,yes,yes,yes,yes,5,0,10
F,18,R,T,4,4,father,2,0,no,yes,yes,yes,yes,3,10,11
